"address","categories/0","categories/1","categories/2","categories/3","categoryName","city","countryCode","isAdvertisement","location/lat","location/lng","neighborhood","placeId","postalCode","rank","reviewsCount","searchPageLoadedUrl","searchPageUrl","searchString","state","street","title","totalScore","url"
"Av. Oeste, 1973 - Setor Norte Ferroviário, Goiânia - GO, 74063-020, Brasil","Restaurante self-service","Restaurante",,,"Restaurante self-service","Goiânia","BR","false","-16.6589842","-49.2620709","Av. Oeste, 1973","ChIJ5zMossHzXpMRAUHwophCa8E","74063-020","15","572","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","Av. Oeste, 1973","Lú Restaurante","4.5","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJ5zMossHzXpMRAUHwophCa8E"
"R. 5, 404 - St. Central, Goiânia - GO, 74620-080, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6724983","-49.2595517","R. 5, 404","ChIJK7PmoSTzXpMR1GKEcDIsH3o","74620-080","16","26","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. 5, 404","Restaurante metropolis","4.3","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJK7PmoSTzXpMR1GKEcDIsH3o"
"R. L, 45 - St. Centro Oeste, Goiânia - GO, 74550-131, Brasil","Restaurante self-service","Restaurante brasileiro",,,"Restaurante self-service","Goiânia","BR","false","-16.6633159","-49.2776639","R. L, 45","ChIJmzFRvvPzXpMRTf3e25h0FV8","74550-131","17","137","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. L, 45","Kalil Restaurante","4.2","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJmzFRvvPzXpMRTf3e25h0FV8"
"Rua 27-A, n 305, R. 27-A, 305 - St. Aeroporto, Goiânia - GO, 74075-340, Brasil","Restaurante self-service","Restaurante",,,"Restaurante self-service","Goiânia","BR","false","-16.6722068","-49.2745688","Rua 27-A, n 305, R. 27-A, 305","ChIJz6BGN_vzXpMRGlWWJ8hwE3s","74075-340","18","163","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","GO","Rua 27-A, n 305, R. 27-A, 305","Restaurante Sabor Tropical","4.5","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJz6BGN_vzXpMRGlWWJ8hwE3s"
"R. 235, 766 - Setor Leste Universitário, Goiânia - GO, 74605-050, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.673587","-49.2404731","R. 235, 766","ChIJkTgFDoHxXpMRfzPULlJfloE","74605-050","19","650","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. 235, 766","Restaurante Paladar","4.2","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJkTgFDoHxXpMRfzPULlJfloE"
"R. 225, 271 - St. Leste Vila Nova, Goiânia - GO, 74645-170, Brasil","Restaurante self-service",,,,"Restaurante self-service","Goiânia","BR","false","-16.663647","-49.247425","R. 225, 271","ChIJIa8KQNLzXpMRM57l19aPEIs","74645-170","20","77","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. 225, 271","Giragrill Restaurante","4.2","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJIa8KQNLzXpMRM57l19aPEIs"
"Av. Dom Serafim Gomes Jardim, 2-40 - Santo Hilario, Goiânia - GO, 74780-190, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6473569","-49.1898865","Av. Dom Serafim Gomes Jardim, 2-40","ChIJIdO9De_tXpMRcV0GDTEV_do","74780-190","22","299","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás","Av. Dom Serafim Gomes Jardim, 2-40","Restaurante da Karla","4.2","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJIdO9De_tXpMRcV0GDTEV_do"
"Av. Gov Jose L Almeida Q 25a, 0 - Conj Res Palmares, Goiânia - GO, 74775-013, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6474191","-49.2100889","Av. Gov Jose L Almeida Q 25a, 0","ChIJvVcE7OrzXpMRdImO3pPuQ4U","74775-013","23","14","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás","Av. Gov Jose L Almeida Q 25a, 0","Restaurante Dona Lena","4.1","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJvVcE7OrzXpMRdImO3pPuQ4U"
"Alameda Pampulha, 1150 - St. Jao, Goiânia - GO, 74673-200, Brasil","Restaurante Mineiro","Restaurante",,,"Restaurante Mineiro","Goiânia","BR","false","-16.6534398","-49.2300114","Alameda Pampulha, 1150","ChIJJ7lPYjnyXpMR_ryw0hmGqRE","74673-200","24","1167","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás","Alameda Pampulha, 1150","Comida Caipira Bar e Restaurante","4.5","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJJ7lPYjnyXpMR_ryw0hmGqRE"
"Av. das Esmeralda, QD 28 - Lote 12 - St. Recanto das Minas Gerais, Goiânia - GO, 74785-132, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6444845","-49.1887062","Av. das Esmeralda, QD 28 - Lote 12","ChIJ3TioMq3tXpMRJCsNOX8q1QU","74785-132","33","15","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás","Av. das Esmeralda, QD 28 - Lote 12","LIMA'S RESTAURANTE COMIDA CASEIRA","4.7","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJ3TioMq3tXpMRJCsNOX8q1QU"
"Av. dos Índios, 472 - Santa Genoveva, Goiânia - GO, 74672-450, Brasil","Restaurante self-service",,,,"Restaurante self-service","Goiânia","BR","false","-16.6340308","-49.2279149","Av. dos Índios, 472","ChIJdwK5HFzyXpMRBlM7CIP6e1A","74672-450","35","1070","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás","Av. dos Índios, 472","Mariah Restaurante","4.5","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJdwK5HFzyXpMRBlM7CIP6e1A"
"Av. Anápolis, 2900 - Vila Pedroso, Goiânia - GO, 74770-030, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6581554","-49.182167","Av. Anápolis, 2900","ChIJyzn3bHXuXpMRHNgcPQvIzvc","74770-030","36","470","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás","Av. Anápolis, 2900","Restaurante Novo Sabor","4.3","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJyzn3bHXuXpMRHNgcPQvIzvc"
"Vila Matinha, Sen. Canedo - GO, 75256-639, Brasil","Restaurante",,,,"Restaurante","Sen. Canedo","BR","false","-16.6367829","-49.1386742",,"ChIJv7FO3hnsXpMR8ZW88yqEnog",,"37","2","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás",,"Lanchonete Do Pavão","5","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJv7FO3hnsXpMR8ZW88yqEnog"
"R. Belo Horizonte, Quadra 31 - lote 6 - Residencial Jardim Guanabara 1, Goiânia - GO, 74675-080, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6241646","-49.2204224","R. Belo Horizonte, Quadra 31 - lote 6","ChIJfyXMxKzzXpMRQ-CHeUMXfnk","74675-080","40","143","https://www.google.com/maps/search/restaurant/@-16.5933867,-49.0902845,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.593386668021587,-49.09028448368779,15z?hl=pt-BR","restaurant","Goiás","R. Belo Horizonte, Quadra 31 - lote 6","Restaurante Nosso Senhor","4.5","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJfyXMxKzzXpMRQ-CHeUMXfnk"
"R. 59, 50 - St. Central, Goiânia - GO, 74045-050, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6676652","-49.2630743","R. 59, 50","ChIJwe29K1jzXpMR04W0aZ_IejI","74045-050","21","29","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","R. 59, 50","Comer Restaurante","5","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJwe29K1jzXpMR04W0aZ_IejI"
"Av. Ver. José Monteiro, 1620 - Setor Negrão de Lima, Goiânia - GO, 74650-300, Brasil","Restaurante self-service",,,,"Restaurante self-service","Goiânia","BR","false","-16.6566829","-49.247626","Av. Ver. José Monteiro, 1620","ChIJi4oNal_xXpMR-uuwFUjUsiE","74650-300","22","3558","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","Av. Ver. José Monteiro, 1620","Labodeguita Restaurante","4.5","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJi4oNal_xXpMR-uuwFUjUsiE"
"Av. Goiás, 2151 - St. Central, Goiânia - GO, 74563-500, Brasil","Restaurante",,,,"Restaurante","Goiânia","BR","false","-16.6607291","-49.262454","Av. Goiás, 2151","ChIJzcFIJsLzXpMRVO99VQll_ac","74563-500","23","796","https://www.google.com/maps/search/restaurant/@-16.6593128,-49.2624762,15z/data=!4m2!2m1!6e5?hl=pt-BR&entry=ttu","https://www.google.com/maps/search/restaurant/@-16.65931277732615,-49.26247620000001,15z?hl=pt-BR","restaurant","Goiás","Av. Goiás, 2151","Dom Goiano Restaurante - Shopping Estação da Moda","4.4","https://www.google.com/maps/search/?api=1&query=restaurant&query_place_id=ChIJzcFIJsLzXpMRVO99VQll_ac"
